id_row,time_stamp,department_,category_,machine_name,part_name,plan_,id_operator,output_,cycle_time,count_,run_,idle_,alarm_,offline_,alarm_code
177,"2025-08-16 16:51:20.30",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
178,"2025-08-16 16:51:21.20",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
179,"2025-08-16 16:51:27.12",Lathe,Machine,"Rotor TK4",2021404,0,id,1,86.26,25,0,0,0,0,0
180,"2025-08-16 16:52:00.63",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
181,"2025-08-16 16:52:19.66",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
182,"2025-08-16 16:52:20.60",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
183,"2025-08-16 16:52:27.15",Lathe,Machine,"Rotor TK1",089-138,0,id,1,102.72,23,0,0,0,0,0
184,"2025-08-16 16:52:29.15",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
185,"2025-08-16 16:53:00.73",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
186,"2025-08-16 16:53:01.66",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
187,"2025-08-16 16:53:07.61",Lathe,Machine,"Rotor TK4",2021404,0,id,1,100.49,26,0,0,0,0,0
188,"2025-08-16 16:53:43.45",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
189,"2025-08-16 16:54:03.07",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
190,"2025-08-16 16:54:03.99",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
191,"2025-08-16 16:54:09.29",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
192,"2025-08-16 16:54:10.53",Lathe,Machine,"Rotor TK1",089-138,0,id,1,103.38,24,0,0,0,0,0
193,"2025-08-16 16:54:44.12",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
194,"2025-08-16 16:54:45.05",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
195,"2025-08-16 16:54:50.73",Lathe,Machine,"Rotor TK4",2021404,0,id,1,103.12,27,0,0,0,0,0
196,"2025-08-16 16:55:26.94",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
197,"2025-08-16 16:55:46.34",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
198,"2025-08-16 16:55:47.53",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
199,"2025-08-16 16:55:52.90",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
200,"2025-08-16 16:55:53.82",Lathe,Machine,"Rotor TK1",089-138,0,id,1,103.29,25,0,0,0,0,0
201,"2025-08-16 16:56:27.39",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
202,"2025-08-16 16:56:28.34",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
203,"2025-08-16 16:56:28.66",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
204,"2025-08-16 16:56:34.11",Lathe,Machine,"Rotor TK4",2021404,0,id,1,103.38,28,0,0,0,0,0
205,"2025-08-16 16:57:10.44",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
206,"2025-08-16 16:57:29.74",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
207,"2025-08-16 16:57:30.64",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
208,"2025-08-16 16:57:36.15",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
209,"2025-08-16 16:57:37.12",Lathe,Machine,"Rotor TK1",089-138,0,id,1,103.30,26,0,0,0,0,0
210,"2025-08-16 16:58:10.80",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
